Year,Month,Day,hour,apcps,press,spfh2,tmp2m,tmphb,ugrdh,vgrd1,Rel. Humidity
1979,10,21,0,0,1.0191e+05,0.011386,290.27,290.26,0.86,4.15,95.521
1979,10,21,1,0,1.0194e+05,0.011018,289.67,289.84,1.19,3.96,96.057
1979,10,21,2,0,1.0197e+05,0.010649,289.08,289.43,1.52,3.77,96.435
1979,10,21,3,0,1.0201e+05,0.010281,288.48,289.01,1.85,3.58,96.784
1979,10,21,4,0,1.02e+05,0.010049,288.05,288.71,2.1,3.46,97.243
1979,10,21,5,0,1.0198e+05,0.009818,287.62,288.4,2.35,3.35,97.666
1979,10,21,6,0,1.0197e+05,0.0095865,287.18,288.1,2.6,3.23,98.107
1979,10,21,7,0,1.0197e+05,0.0095483,287.12,287.9,2.71,3.24,98.096
1979,10,21,8,0,1.0196e+05,0.0095097,287.06,287.7,2.82,3.24,98.079
1979,10,21,9,0,1.0196e+05,0.0094712,287,287.5,2.92,3.25,98.062
1979,10,21,10,0,1.0194e+05,0.0096037,287.16,287.58,3,3.16,98.385
1979,10,21,11,0,1.0192e+05,0.0097362,287.33,287.66,3.07,3.08,98.629
1979,10,21,12,0,1.019e+05,0.0098686,287.49,287.75,3.14,2.99,98.918
1979,10,21,13,0,1.0193e+05,0.010641,289.66,289.56,3.42,3.1,92.819
1979,10,21,14,0,1.0196e+05,0.011414,291.82,291.38,3.7,3.22,86.895
1979,10,21,15,0,1.0199e+05,0.012186,293.99,293.2,3.97,3.33,81.11
1979,10,21,16,0,1.0192e+05,0.012577,295.24,294.47,3.6,3.81,77.488
1979,10,21,17,0,1.0185e+05,0.012968,296.49,295.74,3.22,4.3,74.012
1979,10,21,18,0,1.0178e+05,0.013359,297.75,297.01,2.84,4.78,70.635
1979,10,21,19,0,1.0177e+05,0.013538,297.66,297.08,2.79,5.15,71.959
1979,10,21,20,0,1.0175e+05,0.013718,297.58,297.14,2.74,5.51,73.252
1979,10,21,21,0,1.0174e+05,0.013897,297.49,297.2,2.68,5.88,74.598
1979,10,21,22,0,1.0169e+05,0.013615,296,295.94,2.54,5.27,79.913
1979,10,21,23,0,1.0164e+05,0.013333,294.5,294.69,2.39,4.65,85.709
1980,10,26,0,0.0388,98807,0.010448,288.37,287.09,3.01,9.78,95.939
1980,10,26,1,0.0318,98804,0.0093301,286.83,285.75,6.35,9.39,94.649
1980,10,26,2,0.0248,98800,0.0082126,285.29,284.41,9.68,9.01,92.148
1980,10,26,3,0.0228,98797,0.0070953,283.76,283.07,13.02,8.62,88.105
1980,10,26,4,0.0175,98992,0.0065465,282.87,282.42,12.66,7.52,86.448
1980,10,26,5,0.0086,99185,0.0059977,281.98,281.77,12.3,6.41,84.262
1980,10,26,6,0.012,99379,0.0054491,281.1,281.12,11.94,5.31,81.425
1980,10,26,7,0.0044,99509,0.0052304,280.95,281.05,11.68,4.85,79.063
1980,10,26,8,0.0008,99639,0.0050117,280.8,280.99,11.43,4.39,76.636
1980,10,26,9,0.0048,99768,0.0047929,280.65,280.92,11.17,3.93,74.141
1980,10,26,10,0.002,99893,0.0047121,280.34,280.37,11.93,3.63,74.548
1980,10,26,11,0.0008,1.0002e+05,0.0046316,280.02,279.83,12.69,3.34,74.994
1980,10,26,12,0,1.0014e+05,0.004551,279.71,279.28,13.44,3.05,75.372
1980,10,26,13,0,1.0022e+05,0.0043186,279.89,279.2,12.1,3.25,70.696
1980,10,26,14,0,1.003e+05,0.004086,280.08,279.12,10.77,3.46,66.07
1980,10,26,15,0,1.0037e+05,0.0038536,280.26,279.03,9.43,3.67,61.594
1980,10,26,16,0,1.0046e+05,0.0038196,280.38,279.42,9.93,3.38,60.603
1980,10,26,17,0,1.0054e+05,0.0037857,280.49,279.81,10.44,3.09,59.665
1980,10,26,18,0,1.0063e+05,0.0037517,280.6,280.19,10.94,2.8,58.736
1980,10,26,19,0,1.0066e+05,0.0037561,280.62,280.17,10.33,2.5,58.743
1980,10,26,20,0,1.007e+05,0.0037605,280.64,280.16,9.71,2.2,58.752
1980,10,26,21,0,1.0073e+05,0.0037649,280.66,280.14,9.1,1.9,58.759
1980,10,26,22,0,1.009e+05,0.0038758,280.16,279.96,9.81,1.86,62.702
1980,10,26,23,0,1.0106e+05,0.0039871,279.66,279.79,10.52,1.83,66.87
1981,10,25,0,0,1.027e+05,0.0037242,279.42,280.67,-0.45,-1.1,64.53
1981,10,25,1,0,1.0278e+05,0.0037151,279.09,280.39,-0.96,-1.35,65.908
1981,10,25,2,0,1.0286e+05,0.0037062,278.76,280.11,-1.48,-1.59,67.322
1981,10,25,3,0.0699,1.0293e+05,0.0036972,278.43,279.83,-1.99,-1.83,68.769
1981,10,25,4,0,1.0287e+05,0.0037848,278.23,279.66,-2.31,-1.21,71.344
1981,10,25,5,0,1.0281e+05,0.0038726,278.03,279.5,-2.64,-0.59,73.979
1981,10,25,6,0.0705,1.0275e+05,0.0039599,277.83,279.33,-2.97,0.04,76.665
1981,10,25,7,0.0896,1.0272e+05,0.004092,277.7,279.19,-2.98,0.27,79.923
1981,10,25,8,0.1468,1.0269e+05,0.0042238,277.58,279.05,-3,0.51,83.169
1981,10,25,9,0.248,1.0266e+05,0.0043557,277.46,278.91,-3.02,0.74,86.464
1981,10,25,10,0,1.0274e+05,0.0046606,278.18,279.18,-3.54,0.6,88.049
1981,10,25,11,0.0476,1.0283e+05,0.0049653,278.9,279.45,-4.05,0.46,89.3
1981,10,25,12,0.0584,1.0292e+05,0.0052702,279.62,279.73,-4.57,0.33,90.257
1981,10,25,13,0,1.0288e+05,0.0054672,280.61,280.36,-4.14,-0.53,87.447
1981,10,25,14,0.2611,1.0284e+05,0.0056647,281.59,281,-3.71,-1.39,84.725
1981,10,25,15,0.1816,1.028e+05,0.0058615,282.58,281.63,-3.29,-2.25,81.965
1981,10,25,16,0.0966,1.0281e+05,0.0060837,283.04,282.35,-3.73,-1.6,82.493
1981,10,25,17,0,1.0283e+05,0.0063056,283.51,283.08,-4.17,-0.95,82.863
1981,10,25,18,0.0772,1.0284e+05,0.0065274,283.97,283.8,-4.61,-0.3,83.196
1981,10,25,19,0.186,1.0281e+05,0.0068208,284.11,283.88,-4.66,-0.24,86.108
1981,10,25,20,0.2125,1.0279e+05,0.0071136,284.24,283.97,-4.71,-0.17,89.01
1981,10,25,21,0.2999,1.0276e+05,0.0074067,284.38,284.05,-4.76,-0.11,91.797
